date,ticker,company,title,department,location,role_bucket,ai_title,weighted_score,strong_hit,url
2026-07-04,PLTR,Palantir,Administrative Business Partner - Security,Administrative,"Palo Alto, CA",nontech,0,4,1,https://jobs.lever.co/palantir/0bbfd4f4-41ff-4ec6-b73f-5200efd5d4d3
2026-07-04,PLTR,Palantir,Administrative Business Partner - Security,Administrative,"New York, NY",nontech,0,4,1,https://jobs.lever.co/palantir/fe2a8c69-49b7-405f-816c-a6c6f894399a
2026-07-04,PLTR,Palantir,Administrative Business Partner - ShipOS,Administrative,"Washington, D.C.",nontech,0,0,0,https://jobs.lever.co/palantir/a237973c-cb29-41fe-9c80-416e6f42e087
2026-07-04,PLTR,Palantir,Administrative Business Partner - ShipOS,Administrative,"New York, NY",nontech,0,0,0,https://jobs.lever.co/palantir/a5f93bb6-4f13-4451-80a4-f63090830269
2026-07-04,PLTR,Palantir,Application Security Engineer,Information Security,"London, United Kingdom",product_eng,0,0,0,https://jobs.lever.co/palantir/205c3184-4272-41a9-a1e2-5352d4d00910
2026-07-04,PLTR,Palantir,Application Security Engineer,Information Security,"New York, NY",product_eng,0,0,0,https://jobs.lever.co/palantir/7e3ec54c-b73a-4014-8ef3-cdce8a4953c4
2026-07-04,PLTR,Palantir,Application Security Engineer,Information Security,"Washington, D.C.",product_eng,0,0,0,https://jobs.lever.co/palantir/a5fdd5ec-d1f3-4837-83af-161b003931dd
2026-07-04,PLTR,Palantir,Backend Software Engineer - Application Development,Dev,"London, United Kingdom",product_eng,0,4,1,https://jobs.lever.co/palantir/10dfc8bc-99ad-4ca2-ab76-853cb90a92c2
2026-07-04,PLTR,Palantir,Backend Software Engineer - Application Development,Dev,"New York, NY",product_eng,0,4,1,https://jobs.lever.co/palantir/ab7e3425-81d5-4705-a7b5-cd60c8a45cdb
2026-07-04,PLTR,Palantir,Backend Software Engineer - Defense,Dev,"Washington, D.C.",product_eng,0,4,1,https://jobs.lever.co/palantir/1345438c-ebfc-4fa5-b545-30c1414f317c
2026-07-04,PLTR,Palantir,Backend Software Engineer - Defense,Dev,"Palo Alto, CA",product_eng,0,4,1,https://jobs.lever.co/palantir/a8174f9c-6f46-46b4-8e15-d1ff9e37c9eb
