date,ticker,company,title,department,location,role_bucket,seniority,ai_title,weighted_score,strong_hit,categories,salary_mid,url
2026-08-18,DDOG,Datadog,AI Research Engineer - Datadog AI Research (DAIR),Dev Eng,"Paris, France",research,mid,1,26,1,buzz|general_medium|model_infra,,https://careers.datadoghq.com/detail/7194969/?gh_jid=7194969
2026-08-18,DDOG,Datadog,AI Research Scientist - Datadog AI Research (DAIR),Dev Eng,"Paris, France",research,mid,1,24,1,application|buzz|general_medium|model_infra,,https://careers.datadoghq.com/detail/6652564/?gh_jid=6652564
2026-08-18,DDOG,Datadog,AI Research Scientist - Datadog AI Research (DAIR),Dev Eng,"New York, New York, USA",research,mid,1,24,1,application|buzz|general_medium|model_infra,360000,https://careers.datadoghq.com/detail/6572669/?gh_jid=6572669
2026-08-18,DDOG,Datadog,"Area Vice President, Enterprise Security Sales",Enterprise Sales,"New York, New York, USA; San Francisco, California, USA",nontech,exec,0,0,0,,242500,https://careers.datadoghq.com/detail/7508990/?gh_jid=7508990
2026-08-18,DDOG,Datadog,"Area Vice President, Sales Engineering",Enterprise Sales Engineering,"Boston, Massachusetts, USA; New York, New York, USA; San Francisco, California, USA",demand_validated,exec,0,0,0,,277500,https://careers.datadoghq.com/detail/7762722/?gh_jid=7762722
2026-08-18,DDOG,Datadog,Associate Field Marketing Manager (US East and Canada),Field Marketing,"New York, New York, USA",nontech,mid,0,4,1,application|buzz,82500,https://careers.datadoghq.com/detail/8097690/?gh_jid=8097690
2026-08-18,DDOG,Datadog,Associate Growth Marketing Manager,Demand Generation,"New York, New York, USA; San Francisco, California, USA",nontech,mid,0,0,0,,85000,https://careers.datadoghq.com/detail/8059723/?gh_jid=8059723
2026-08-18,DDOG,Datadog,"Campus Coordinator, Technical Recruiting - EMEA",Technical Recruiting,"Paris, France",nontech,intern,0,0,0,,,https://careers.datadoghq.com/detail/8119837/?gh_jid=8119837
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Seoul, South Korea",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/6512586/?gh_jid=6512586
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Denver, Colorado, USA",demand_validated,mid,0,0,0,,67500,https://careers.datadoghq.com/detail/1694375/?gh_jid=1694375
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Seoul, South Korea",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/6512326/?gh_jid=6512326
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Sydney, Australia",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/7463765/?gh_jid=7463765
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Bangalore, India",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/6512321/?gh_jid=6512321
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Tokyo, Japan",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/5798241/?gh_jid=5798241
2026-08-18,DDOG,Datadog,Commercial Account Executive,Commercial Sales,"Tokyo, Japan",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/6009777/?gh_jid=6009777
2026-08-18,DDOG,Datadog,Commercial Account Executive - Boston,Commercial Sales,"Boston, Massachusetts, USA",demand_validated,mid,0,0,0,,67500,https://careers.datadoghq.com/detail/1497543/?gh_jid=1497543
2026-08-18,DDOG,Datadog,Commercial Account Executive (DACH),Commercial Sales,"Amsterdam, The Netherlands; Dublin, Ireland",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/5283132/?gh_jid=5283132
2026-08-18,DDOG,Datadog,Commercial Account Executive (France),Commercial Sales,"Amsterdam, The Netherlands; Dublin, Ireland",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/7824375/?gh_jid=7824375
2026-08-18,DDOG,Datadog,Commercial Account Executive (Hong Kong Market),Commercial Sales,"Singapore, Singapore",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/7919037/?gh_jid=7919037
2026-08-18,DDOG,Datadog,Commercial Account Executive (Indonesia Market),Commercial Sales,"Singapore, Singapore",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/7463727/?gh_jid=7463727
2026-08-18,DDOG,Datadog,Commercial Account Executive - Israel,Commercial Sales,"Tel Aviv, Israel",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/8025860/?gh_jid=8025860
2026-08-18,DDOG,Datadog,Commercial Account Executive - LATAM (Portuguese Speaking) - Denver,Commercial Sales,"Denver, Colorado, USA",demand_validated,mid,0,0,0,,67500,https://careers.datadoghq.com/detail/7858788/?gh_jid=7858788
2026-08-18,DDOG,Datadog,Commercial Account Executive - LATAM (Spanish Speaking) - Boston,Commercial Sales,"Boston, Massachusetts, USA",demand_validated,mid,0,0,0,,67500,https://careers.datadoghq.com/detail/7329207/?gh_jid=7329207
2026-08-18,DDOG,Datadog,Commercial Account Executive (Portugal),Commercial Sales,"Amsterdam, The Netherlands; Dublin, Ireland",demand_validated,mid,0,0,0,,,https://careers.datadoghq.com/detail/8078805/?gh_jid=8078805
